,날짜,모기지수,강수량(mm),평균기온(C),최저기온(C),최대기온(C)
341,04-11,48.9,0.0,15.3,11.5,20.2
342,04-12,53.7,0.0,11.5,8.8,16.4
343,04-13,54.1,0.0,12.7,6.3,19.6
344,04-14,57.4,6.0,13.0,10.1,17.7
345,04-15,56.0,0.0,16.8,10.9,24.3
346,04-16,62.1,0.0,18.7,12.9,24.4
347,04-17,67.3,5.5,14.7,11.2,18.0
348,04-18,64.7,7.5,11.7,9.4,17.4
349,04-19,56.0,0.0,12.6,7.0,18.4
350,04-20,55.4,0.1,12.9,9.9,18.2
351,04-21,59.2,0.0,13.1,7.6,19.3
352,04-22,55.4,0.0,14.8,8.5,22.5
353,04-23,51.4,0.0,14.9,8.9,21.7
354,04-24,47.2,0.0,15.1,8.3,21.3
355,04-25,45.5,0.0,16.0,12.9,20.4
356,04-26,52.2,0.0,15.1,10.5,20.2
357,04-27,58.6,0.0,13.6,7.9,19.8
358,04-28,59.2,0.0,14.4,8.9,21.5
359,04-29,65.4,0.0,17.1,9.6,23.7
360,04-30,68.6,0.0,19.3,13.7,27.8
361,05-01,65.3,0.0,20.1,12.8,28.3
362,05-02,116.8,0.0,20.7,15.2,28.0
363,05-03,106.7,0.0,21.5,14.5,30.2
364,05-04,148.2,0.0,21.0,14.8,27.5
365,05-05,204.7,0.0,20.9,15.5,27.0
366,05-06,448.8,0.0,14.9,10.0,19.3
367,05-07,517.2,0.0,16.6,10.9,22.8
368,05-08,208.4,0.0,17.9,11.1,23.5
369,05-09,701.8,2.5,17.1,15.3,22.6
370,05-10,559.8,2.5,16.4,14.2,20.8
371,05-11,217.2,0.0,19.3,13.1,24.8
372,05-12,173.8,0.0,19.1,16.8,21.1
373,05-13,125.2,6.0,16.4,12.4,22.6
374,05-14,129.1,0.0,15.7,11.0,20.7
375,05-15,110.1,0.0,16.0,12.3,20.1
376,05-16,127.4,0.0,17.1,13.3,22.3
377,05-17,158.1,0.0,18.6,12.3,25.9
378,05-18,178.8,0.0,20.4,13.9,26.9
379,05-19,169.9,0.0,21.1,15.1,27.9
380,05-20,188.3,0.0,20.9,15.4,27.3
381,05-21,205.7,0.0,21.5,16.0,27.6
382,05-22,245.9,0.0,21.8,15.9,28.0
383,05-23,406.9,5.0,20.0,17.2,24.4
384,05-24,455.7,0.1,21.8,16.9,27.8
385,05-25,467.4,0.0,19.2,14.4,24.4
386,05-26,560.8,0.0,17.7,12.4,23.2
387,05-27,248.1,0.0,19.5,13.7,26.4
388,05-28,563.8,0.0,21.2,14.4,27.9
389,05-29,829.1,0.0,22.9,18.1,29.3
390,05-30,578.5,0.0,23.6,18.6,30.3
391,05-31,450.6,0.0,23.3,17.7,29.6
392,06-01,406.9,0.0,23.3,20.0,27.0
393,06-01,406.9,0.0,23.3,20.0,27.0
394,06-01,406.9,0.0,23.3,20.0,27.0
395,06-01,406.9,0.0,23.3,20.0,27.0
396,06-02,464.1,0.0,20.5,15.5,25.6
397,06-03,516.5,0.0,20.5,16.1,26.5
398,06-04,475.8,0.0,21.7,15.1,28.1
399,06-05,627.8,0.0,24.2,16.4,30.3
400,06-06,613.0,15.5,19.4,14.5,23.9
401,06-07,531.3,12.5,17.6,15.1,19.2
402,06-08,455.7,0.0,20.1,15.1,25.9
403,06-09,487.6,0.1,21.2,17.9,25.7
404,06-10,501.7,4.5,21.5,16.7,27.5
405,06-11,422.0,0.0,22.8,14.8,29.6
406,06-11,422.0,0.0,22.8,14.8,29.6
407,06-12,381.7,0.0,22.1,17.0,28.0
408,06-13,440.5,0.0,21.5,18.3,25.9
409,06-14,464.1,0.0,21.8,17.8,26.8
410,06-15,500.7,0.0,23.1,18.0,29.6
411,06-16,489.3,0.0,25.5,20.0,32.7
412,06-17,551.0,0.0,24.2,20.6,29.9
413,06-18,566.7,0.0,24.3,18.6,31.8
414,06-19,555.9,0.0,24.8,19.5,30.2
415,06-20,679.0,0.0,26.0,20.0,32.7
416,06-21,797.1,0.0,25.4,21.7,31.6
417,06-22,961.5,0.0,25.3,21.2,30.4
418,06-23,1000.0,0.0,26.7,21.3,34.1
419,06-24,1000.0,3.5,24.5,21.5,27.8
420,06-24,1000.0,3.5,24.5,21.5,27.8
421,06-25,1000.0,1.5,23.8,21.0,28.4
422,06-26,1000.0,29.0,23.1,20.1,29.9
423,06-26,1000.0,29.0,23.1,20.1,29.9
424,06-27,1000.0,0.0,25.2,20.8,30.5
425,06-28,1000.0,0.0,26.0,22.5,30.5
426,06-29,1000.0,0.0,26.2,21.9,31.5
427,06-30,1000.0,0.0,25.9,22.2,30.9
428,07-01,754.1,0.5,25.3,22.4,30.7
429,07-02,756.3,92.0,24.3,21.9,26.8
430,07-03,755.2,67.5,24.7,21.9,27.4
431,07-04,794.9,0.5,26.7,23.8,31.6
432,07-05,847.9,0.0,27.4,23.3,32.6
433,07-06,855.6,34.0,27.6,23.9,34.6
